,category,title,tags,age_rating,image,description,cas1517,vader_sentiment,representation
217,Science & Nature,Serengeti II - Series 1: 5. Power,"BBC, iPlayer, TV, Serengeti II, Series 1: 5. Power",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09sjs44.jpg,Power is shifting among the families as their young are growing and new threats emerge.,0.83754,Negative,
218,Science & Nature,Planet Earth II - 4. Deserts,"BBC, iPlayer, TV, Planet Earth II, 4. Deserts",U,https://ichef.bbci.co.uk/images/ic/1200x675/p04hbfgn.jpg,The incredible ways in which animals cope with living in the planets deserts.,0.83647,Neutral,
53,Films,The Outlaw,"BBC, iPlayer, TV, The Outlaw",U,https://ichef.bbci.co.uk/images/ic/1200x675/p09m5mdc.jpg,Unconventional western about the life of legendary outlaw Billy the Kid.,0.812025,Negative,3.0
78,Documentaries,Big Cats - Series 1: Episode 1,"BBC, iPlayer, TV, Big Cats, Series 1: Episode 1",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p08jjf8p.jpg,"Meet the worlds ultimate cats, remarkable members of an incredible animal family.",0.789855,Very positive,
84,Documentaries,The Mating Game - Series 1: 4. Freshwater: Timing Is Everything,"BBC, iPlayer, TV, The Mating Game, Series 1: 4. Freshwater: Timing Is Everything",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p09z41sr.jpg,The cycle of freshwater triggers spectacular mating rituals and fierce competition.,0.789655,Neutral,
76,Documentaries,Dynasties - Series 1: 5. Tiger,"BBC, iPlayer, TV, Dynasties, Series 1: 5. Tiger",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p06n2ddt.jpg,A tigress must protect her cubs while battling rivals who want to overthrow her.,0.7881750000000001,Negative,
239,Science & Nature,Fantastic Beasts: A Natural History,"BBC, iPlayer, TV, Fantastic Beasts: A Natural History",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p0bpqpn6.jpg,Stephen Fry discovers the fascinating stories behind the world’s most fantastic beasts.,0.785885,Very positive,1.0
62,Films,The Thing from Another World,"BBC, iPlayer, TV, The Thing from Another World",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p08xzmvb.jpg,Scientists at a lonely Arctic outpost dig up an alien from the permafrost.,0.783405,Very negative,1.0
225,Science & Nature,Frozen Planet - 2. Spring,"BBC, iPlayer, TV, Frozen Planet, 2. Spring",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01h6jw0.jpg,"Spring arrives in the polar regions, and the sun appears after an absence of five months.",0.7796449999999999,Positive,
21,CBBC,Wizards vs Aliens - Series 2: 8. The Curse of Crowe Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 2: 8. The Curse of Crowe Part Two",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01lty4k.jpg,Tom and Benny suffer from Gemma Ravens curse.,0.7717099999999999,Very negative,3.0
10,CBBC,Wizards vs Aliens - Series 1: 6. Rebel Magic - Part Two,"BBC, iPlayer, TV, Wizards vs Aliens, Series 1: 6. Rebel Magic - Part Two",PG,https://ichef.bbci.co.uk/images/ic/1200x675/p01hzm5g.jpg,Tom and Jackson take the fight to the Nekross.,0.77126,Very negative,3.0
25,Films,Amundsen,"BBC, iPlayer, TV, Amundsen",12,https://ichef.bbci.co.uk/images/ic/1200x675/p08yzglx.jpg,Film drama that tells the life story of Norwegian polar explorer Roald Amundsen.,0.759655,Very negative,1.0
90,From the Archives,Waterloo Road - Series 9: Episode 20,"BBC, iPlayer, TV, Waterloo Road, Series 9: Episode 20",12,https://ichef.bbci.co.uk/images/ic/1200x675/p01thb59.jpg,Kaceys boxing career is jeopardised when a challenge by Gabriella goes horribly wrong.,0.7497757142857143,Very negative,3.0
93,From the Archives,Waterloo Road - Series 3: Episode 11,"BBC, iPlayer, TV, Waterloo Road, Series 3: Episode 11",12,https://ichef.bbci.co.uk/images/ic/1200x675/p07lygz2.jpg,"In an attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.",0.7495957142857143,Very negative,3.0
102,From the Archives,Death in Paradise - Series 2: Episode 8,"BBC, iPlayer, TV, Death in Paradise, Series 2: Episode 8",12,https://ichef.bbci.co.uk/images/ic/1200x675/p07tdv25.jpg,DI Poole and his colleagues find themselves up against a daring and elusive opponent.,0.74882,Very negative,3.0
142,Entertainment,Would I Lie to You? - Series 15: Episode 1,"BBC, iPlayer, TV, Would I Lie to You?, Series 15: Episode 1",12,https://ichef.bbci.co.uk/images/ic/1200x675/p0bcrthn.jpg,"With guests John Cooper Clarke, Judi Love, Chris McCausland and Caroline Quentin.",0.7475157142857143,Very positive,3.0
82,Documentaries,We Are Black and British - Series 1: Episode 2,"BBC, iPlayer, TV, We Are Black and British, Series 1: Episode 2",12,https://ichef.bbci.co.uk/images/ic/1200x675/p0bppz6x.jpg,"The group tackle race at work, marrying in or out, and where mixed-race people fit in.",0.7416849999999999,Very positive,2.0
43,Films,Red Joan,"BBC, iPlayer, TV, Red Joan",12,https://ichef.bbci.co.uk/images/ic/1200x675/p09c8bxp.jpg,Octogenarian Joan Stanley is arrested and accused of having worked as a Soviet spy.,0.73566,Very negative,3.0
45,Films,Versus - The Life and Films of Ken Loach,"BBC, iPlayer, TV, Versus - The Life and Films of Ken Loach",12,https://ichef.bbci.co.uk/images/ic/1200x675/p0b5vn0y.jpg,"Ken Loach reflects on his career, with comments from colleagues, friends and family.",0.732855,Very positive,1.0
69,Documentaries,"Amazing Hotels: Life Beyond the Lobby - Series 1: 1. Marina Bay Sands, Singapore","BBC, iPlayer, TV, Amazing Hotels: Life Beyond the Lobby, Series 1: 1. Marina Bay Sands, Singapore",12,https://ichef.bbci.co.uk/images/ic/1200x675/p04xjygh.jpg,Giles Coren and Monica Galetti join the vast workforce at Singapores Marina Bay Sands.,0.732825,Very positive,
77,Documentaries,Reggie Yates' Extreme - Russia: 1. Far Right & Proud,"BBC, iPlayer, TV, Reggie Yates Extreme, Russia: 1. Far Right & Proud",12,https://ichef.bbci.co.uk/images/ic/1200x675/p06yd08l.jpg,In 2014 Reggie Yates travelled to Moscow to meet some of Russias far right nationalists.,0.73281,Positive,2.0
167,Comedy,Two Doors Down - Series 2: Episode 1,"BBC, iPlayer, TV, Two Doors Down, Series 2: Episode 1",12,https://ichef.bbci.co.uk/images/ic/1200x675/p04gb6fx.jpg,"Seeking a cheap deal, Cathy and Colin try to rope others in to joining their next holiday.",0.712185,Positive,3.0
80,Documentaries,Caribbean with Simon Reeve - Episode 2,"BBC, iPlayer, TV, Caribbean with Simon Reeve, Episode 2",12,https://ichef.bbci.co.uk/images/ic/1200x675/p02lbjpt.jpg,"Simon Reeve continues his journey in Barbados, St Vincent, Venezuela and Colombia.",0.7035118041237113,Positive,3.0
54,Films,Effie Gray,"BBC, iPlayer, TV, Effie Gray",12,https://ichef.bbci.co.uk/images/ic/1200x675/p05m6cbx.jpg,"Dakota Fanning stars as Effie Gray, who at 19 became the wife of John Ruskin (Greg Wise).",0.7021599999999999,Positive,1.0
