,category,title,tags,age_rating,image,description,cas1214,vader_sentiment
93,From the Archives,Waterloo Road - Series 3: Episode 11,"BBC, iPlayer, TV, Waterloo Road, Series 3: Episode 11",12,https://ichef.bbci.co.uk/images/ic/1200x675/p07lygz2.jpg,"In an attempt to stop Bolton from leaving school, Rachel takes the kids on a prison trip.",0.6752892857142857,Very negative
142,Entertainment,Would I Lie to You? - Series 15: Episode 1,"BBC, iPlayer, TV, Would I Lie to You?, Series 15: Episode 1",12,https://ichef.bbci.co.uk/images/ic/1200x675/p0bcrthn.jpg,"With guests John Cooper Clarke, Judi Love, Chris McCausland and Caroline Quentin.",0.6735292857142857,Very positive
82,Documentaries,We Are Black and British - Series 1: Episode 2,"BBC, iPlayer, TV, We Are Black and British, Series 1: Episode 2",12,https://ichef.bbci.co.uk/images/ic/1200x675/p0bppz6x.jpg,"The group tackle race at work, marrying in or out, and where mixed-race people fit in.",0.6672750000000001,Very positive
43,Films,Red Joan,"BBC, iPlayer, TV, Red Joan",12,https://ichef.bbci.co.uk/images/ic/1200x675/p09c8bxp.jpg,Octogenarian Joan Stanley is arrested and accused of having worked as a Soviet spy.,0.66035,Very negative
45,Films,Versus - The Life and Films of Ken Loach,"BBC, iPlayer, TV, Versus - The Life and Films of Ken Loach",12,https://ichef.bbci.co.uk/images/ic/1200x675/p0b5vn0y.jpg,"Ken Loach reflects on his career, with comments from colleagues, friends and family.",0.6547416666666666,Very positive
69,Documentaries,"Amazing Hotels: Life Beyond the Lobby - Series 1: 1. Marina Bay Sands, Singapore","BBC, iPlayer, TV, Amazing Hotels: Life Beyond the Lobby, Series 1: 1. Marina Bay Sands, Singapore",12,https://ichef.bbci.co.uk/images/ic/1200x675/p04xjygh.jpg,Giles Coren and Monica Galetti join the vast workforce at Singapores Marina Bay Sands.,0.6547016666666666,Very positive
77,Documentaries,Reggie Yates' Extreme - Russia: 1. Far Right & Proud,"BBC, iPlayer, TV, Reggie Yates Extreme, Russia: 1. Far Right & Proud",12,https://ichef.bbci.co.uk/images/ic/1200x675/p06yd08l.jpg,In 2014 Reggie Yates travelled to Moscow to meet some of Russias far right nationalists.,0.6546816666666666,Positive
54,Films,Effie Gray,"BBC, iPlayer, TV, Effie Gray",12,https://ichef.bbci.co.uk/images/ic/1200x675/p05m6cbx.jpg,"Dakota Fanning stars as Effie Gray, who at 19 became the wife of John Ruskin (Greg Wise).",0.6332266666666666,Positive
167,Comedy,Two Doors Down - Series 2: Episode 1,"BBC, iPlayer, TV, Two Doors Down, Series 2: Episode 1",12,https://ichef.bbci.co.uk/images/ic/1200x675/p04gb6fx.jpg,"Seeking a cheap deal, Cathy and Colin try to rope others in to joining their next holiday.",0.63228,Positive
96,From the Archives,Life on Mars - Series 2: Episode 6,"BBC, iPlayer, TV, Life on Mars, Series 2: Episode 6",12,https://ichef.bbci.co.uk/images/ic/1200x675/p07lgdt6.jpg,"As heroin hits the streets of Manchester, CID want culprits for the smuggling and dealing.",0.6307210852713179,Very negative
80,Documentaries,Caribbean with Simon Reeve - Episode 2,"BBC, iPlayer, TV, Caribbean with Simon Reeve, Episode 2",12,https://ichef.bbci.co.uk/images/ic/1200x675/p02lbjpt.jpg,"Simon Reeve continues his journey in Barbados, St Vincent, Venezuela and Colombia.",0.6258140721649483,Positive
40,Films,Rush,"BBC, iPlayer, TV, Rush",15,https://ichef.bbci.co.uk/images/ic/1200x675/p08k2f7f.jpg,The story of the rivalry between 1970s F1 champions Niki Lauda and James Hunt.,0.60042,Positive
100,From the Archives,Our Girl - Series 2: Georgie & Elvis,"BBC, iPlayer, TV, Our Girl, Series 2: Georgie & Elvis",15,https://ichef.bbci.co.uk/images/ic/1200x675/p046dzpk.jpg,"Our first glimpse of army medic Georgie Lane, at work and in her explosive private life.",0.6004,Very negative
